DEPTH,CARB_FLAG,COAL_FLAG,DT,GR,NPHI,RD,RHOB,ROP5_RM,RS,RT,SAND_FLAG,depth_m,OBG,OBG_inc,NCL,Mud,PP-3,PP-2.5,PP-2
1382.7252,,,142.734802,126.209297,0.44299998,1.18939995,1.72940003,2.75749993,1.82159996,0.94029998,,1382.7252,0.3746177122110586,3633.1589739891806,148.3428552189464,1963.8016380479999,1759.2021495371905,1794.9655751203354,1830.0464755819023
1382.8776,,,150.056793,125.219001,0.46,1.15349996,1.70679998,2.75149989,1.18459999,1.03250002,,1382.8776,0.36972215370522504,3633.5286961428856,148.33640330453164,1964.0180826239998,2020.7846905642928,2011.4594349477113,2002.0802585650235
1383.03,,,148.925796,132.013595,0.41719999,1.15139997,1.7069,2.74320006,1.31449997,0.94050002,,1383.03,0.36974381975294407,3633.8984399626383,148.32995144045964,1964.2345271999998,1984.1951742204005,1980.885048603778,1977.5682812281038
1383.1824,,,148.788299,135.782302,0.43470001,1.15299999,1.70650005,2.73239994,1.97440004,0.9404,,1383.1824,0.3696571837222978,3634.268097146361,148.32349962673032,1964.450971776,1980.0511486633584,1977.4612772393234,1974.8673510666058
1383.3348,,,143.466094,132.756393,0.49509999,1.14999997,1.69179999,2.72760009,1.93780004,0.94160002,,1383.3348,0.3664728985649966,3634.634570044926,148.31704786334376,1964.667416352,1789.4775759239374,1819.902874012468,1849.8264810434218
1383.4872,,,141.789199,126.952102,0.56389999,1.15960001,1.69200003,12.2199001,1.89590001,0.9828,,1383.4872,0.36651623066043465,3635.001086275586,148.31059615029994,1964.8838609279999,1723.678245186126,1766.1722182888388,1807.7214332841118
1383.6396,,,142.523605,123.375999,0.56620001,1.15129995,1.6875,19.2733993,1.5697,1.00020003,,1383.6396,0.36554144697,3635.366627722556,148.30414448759882,1965.1003055039998,1753.5158121055583,1790.5553406867907,1826.865838748635
1383.792,,,141.862899,123.568496,0.53240001,1.11629998,1.69260001,12.7658004,1.41809999,1.03439998,,1383.792,0.36664619662034764,3635.7332739191766,148.29769287524044,1965.3167500799998,1727.5439150059544,1769.4021973902238,1810.3422712141235
1383.9444,,,145.424804,121.560401,0.49630001,1.15069997,1.68879997,15.2488002,1.12310004,0.88770002,,1383.9444,0.36582304277137345,3636.099096961948,148.29124131322476,1965.533194656,1864.7887760200606,1881.9918353878884,1899.027817734759
1384.0968,,,144.7444,117.049003,0.65200001,1.14859998,1.71689999,16.3964996,1.07990002,0.94370001,,1384.0968,0.37190998912437245,3636.4710069510725,148.28478980155182,1965.749639232,1840.131035838728,1861.7049425662544,1883.0197483112424
1384.2492,,,147.552307,116.306297,0.56389999,1.11049997,1.75610005,16.7266998,1.53400003,0.972,,1384.2492,0.38040139454879374,3636.851408345621,148.27833834022164,1965.966083808,1941.1797406861954,1945.336185563426,1949.4824421274666
1384.4016,,,146.778594,119.689796,0.58789998,1.15610003,1.79069995,17.2518997,1.83150005,1.01839995,,1384.4016,0.38789632640717436,3637.2393046720285,148.27188692923414,1966.1825283839996,1914.6589912448546,1923.3552671551781,1932.0076407788451
1384.554,,,146.078704,125.109001,0.47389999,1.17349994,1.77639997,18.0641002,1.24899995,1.08210003,,1384.554,0.38479870544074946,3637.624103377469,148.2654355685894,1966.39897296,1890.2174324231153,1903.1513415977638,1915.9895169004305
1384.7064,,,148.137405,129.317794,0.48750001,1.18089997,1.74160003,18.5037994,1.30850005,0.99910002,,1384.7064,0.3772604414869307,3638.001363818956,148.25898425828737,1966.615417536,1962.496822013765,1963.1839587151978,1963.87081361683
1384.8588,,,147.434402,131.546005,0.47269999,1.1581,1.71389997,19.6951007,1.2529,1.00090003,,1384.8588,0.3712601333307494,3638.3726239522866,148.25253299832806,1966.831862112,1938.8504283019442,1943.5463189785032,1948.2292346028376
1385.0112,,,142.131896,131.821105,0.58149999,1.1559,1.71200001,20.1243991,1.28100001,1.01429998,,1385.0112,0.37084856940329164,3638.74347252169,148.2460817887115,1967.048306688,1741.897315572385,1781.4254542628769,1820.1298710386475
1385.1636,,,141.253204,131.656005,0.74760001,1.13999998,1.71019995,20.4722003,1.29560005,1.0309,,1385.1636,0.37045864552949437,3639.1139311672196,148.23963062943764,1967.264751264,1706.722307279961,1752.8079664917523,1797.7945275917891
1385.316,,,143.693893,134.847,0.76219999,1.1387,1.71309995,20.5701999,1.30439996,1.04200005,,1385.316,0.3710868352753984,3639.485018002495,148.23317952050652,1967.4811958399998,1803.9671978783792,1832.2898835446117,1860.1755402076099
1385.4684,,,143.405303,138.340606,0.60900002,1.15820002,1.70879995,20.6261997,1.2716,1.02149999,,1385.4684,0.3701553815142303,3639.855173384009,148.22672846191813,1967.6976404159998,1793.304945849751,1823.5849235369435,1853.368366098763
